"visit_date","week","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue","visitor_to_lead_conversion","lead_to_purchase_conversion"
2023-06-01,22,Yandex,cpc,"03997128",1,,,,,,
2023-06-01,22,Yandex,cpm,"01097402",1,,,,,,
2023-06-01,22,admitad,cpa,admitad,60,,,,,,
2023-06-01,22,bing.com,organic,,38,,,,,,
2023-06-01,22,go.mail.ru,organic,,1,,,,,,
2023-06-01,22,google,cpc,frontend,3,,,,,,
2023-06-01,22,google,organic,,4822,,6,,,,
2023-06-01,22,organic,organic,,1371,,2,,,,
2023-06-01,22,telegram,cpp,base-frontend,5,,,,,,
2023-06-01,22,telegram,cpp,base-java,33,,,,,,
2023-06-01,22,telegram,cpp,base-python,38,,,,,,
2023-06-01,22,telegram,cpp,dod-java,2,,,,,,
2023-06-01,22,telegram,cpp,dod-php,3,,,,,,
2023-06-01,22,telegram,cpp,intensive-python,1,,,,,,
2023-06-01,22,telegram,cpp,prof-php,1,,,,,,
2023-06-01,22,telegram,cpp,prof-python,1,,1,,,1.00,
2023-06-01,22,telegram,social,course_completed,3,,,,,,
2023-06-01,22,telegram,social,mdtrue*studenty-mnogih-onlayn-kursov-p,1,,,,,,
2023-06-01,22,tproger,cpc,dod-frontend,11,,,,,,
2023-06-01,22,twitter,social,devushki_v_it,1,,,,,,
2023-06-01,22,twitter,social,hexlet-blog,1,,,,,,
2023-06-01,22,twitter,social,promo,1,,,,,,
2023-06-01,22,twitter.com,social,buffer,1,,,,,,
2023-06-01,22,vc,cpp,dod-php,1,,,,,,
2023-06-01,22,vk,cpc,base-python,50,2537,28,1,9072,0.56,0.04
2023-06-01,22,vk,cpc,freemium-frontend,65,3160,29,2,103307,0.45,0.07
2023-06-01,22,vk,cpc,freemium-java,36,487,18,,,0.50,
2023-06-01,22,vk,cpc,freemium-python,39,980,20,,,0.51,
2023-06-01,22,vk,cpc,prof-data-analytics,44,1072,25,,,0.57,
2023-06-01,22,vk,cpc,prof-frontend,17,,7,,,0.41,
2023-06-01,22,vk,cpc,prof-java,49,3115,21,2,232726,0.43,0.10
2023-06-01,22,vk,cpc,prof-python,61,2028,30,2,94023,0.49,0.07
2023-06-01,22,vk,cpm,prof-data-analytics,8,385,4,,,0.50,
2023-06-01,22,vk,cpp,dod-php,3,,,,,,
2023-06-01,22,vk,cpp,intensive-python,2,,,,,,
2023-06-01,22,vk,social,all-courses,1,,,,,,
2023-06-01,22,vk,social,course_completed,1,,,,,,
2023-06-01,22,vk,social,hexlet-blog,1,,,,,,
2023-06-01,22,vk,social,hexlet.io/my,1,,,,,,
2023-06-01,22,vk-senler,cpc,base-frontend,1,,,,,,
2023-06-01,22,vk-senler,cpc,freemium,7,,,,,,
2023-06-01,22,yandex,cpc,base-frontend,29,18061,28,1,201150,0.97,0.04
2023-06-01,22,yandex,cpc,base-java,13,19252,13,1,48000,1.00,0.08
2023-06-01,22,yandex,cpc,base-professions-retarget,3,151,3,,,1.00,
2023-06-01,22,yandex,cpc,base-python,22,12524,19,3,208875,0.86,0.16
2023-06-01,22,yandex,cpc,dod-frontend,2,2871,2,,,1.00,
2023-06-01,22,yandex,cpc,dod-java,3,2906,3,,,1.00,
2023-06-01,22,yandex,cpc,dod-php,2,5964,2,,,1.00,
2023-06-01,22,yandex,cpc,dod-professions,3,,3,,,1.00,
2023-06-01,22,yandex,cpc,dod-python-java,2,,2,,,1.00,
2023-06-01,22,yandex,cpc,freemium,70,21654,69,16,1152068,0.99,0.23
2023-06-01,22,yandex,cpc,prof-data-analytics,11,10086,11,2,220264,1.00,0.18
2023-06-01,22,yandex,cpc,prof-frontend,59,57138,55,8,623451,0.93,0.15
2023-06-01,22,yandex,cpc,prof-java,33,29490,33,1,80136,1.00,0.03
2023-06-01,22,yandex,cpc,prof-professions-brand,9,4818,9,1,79155,1.00,0.11
2023-06-01,22,yandex,cpc,prof-professions-retarget,8,1714,8,,,1.00,
2023-06-01,22,yandex,cpc,prof-python,44,33026,44,3,239359,1.00,0.07
2023-06-01,22,yandex.com,organic,,2,,,,,,
2023-06-01,22,zen,social,hexlet-blog,8,,,,,,
2023-06-01,22,zen,social,prof-backend,4,,,,,,
2023-06-01,22,zen,social,prof-frontend,7,,,,,,
2023-06-02,22,admitad,cpa,admitad,49,,,,,,
2023-06-02,22,baidu.com,organic,,3,,,,,,
2023-06-02,22,bing.com,organic,,30,,,,,,
2023-06-02,22,botmother,tg,frontend,1,,,,,,
2023-06-02,22,facebook,cpm,freemium-en,1,,,,,,
2023-06-02,22,google,organic,,4069,,4,2,123666,,0.50
2023-06-02,22,organic,organic,,1288,,4,,,,
2023-06-02,22,partners,cpc,prof-python,1,,,,,,
2023-06-02,22,telegram,cpp,base-frontend,1,,,,,,
2023-06-02,22,telegram,cpp,base-java,23,,,,,,
2023-06-02,22,telegram,cpp,base-python,11,,,,,,
2023-06-02,22,telegram,cpp,dod-java,10,,,,,,
2023-06-02,22,telegram,cpp,dod-php,8,,,,,,
2023-06-02,22,telegram,cpp,prof-frontend,1,,1,,,1.00,
2023-06-02,22,telegram,cpp,prof-python,1,,,,,,
2023-06-02,22,telegram,social,course_completed,1,,,,,,
2023-06-02,22,tg,social,newdirections,1,,,,,,
2023-06-02,22,tproger,cpc,dod-frontend,55,,,,,,
2023-06-02,22,twitter,social,devushki_v_it,2,,,,,,
2023-06-02,22,vc,cpp,dod-php,1,,,,,,
2023-06-02,22,vk,cpc,base-python,133,2536,,,,,
2023-06-02,22,vk,cpc,freemium,1,,,,,,
2023-06-02,22,vk,cpc,freemium-frontend,207,2538,,,,,
2023-06-02,22,vk,cpc,freemium-java,163,2536,,,,,
2023-06-02,22,vk,cpc,freemium-python,143,1739,,,,,
2023-06-02,22,vk,cpc,prof-data-analytics,178,4060,,,,,
2023-06-02,22,vk,cpc,prof-frontend,120,,,,,,
2023-06-02,22,vk,cpc,prof-java,216,2783,,,,,
2023-06-02,22,vk,cpc,prof-python,240,2032,,,,,
2023-06-02,22,vk,cpm,prof-data-analytics,14,,,,,,
2023-06-02,22,vk,cpm,prof-frontend,4,,,,,,
2023-06-02,22,vk,cpp,base-frontend,1,,,,,,
2023-06-02,22,vk,cpp,dod-php,2,,,,,,
2023-06-02,22,vk,social,all-courses,1,,,,,,
2023-06-02,22,vk,social,base-python,1,,,,,,
2023-06-02,22,vk,social,hexlet-blog,2,,,,,,
2023-06-02,22,vk-senler,cpc,freemium,9,,,,,,
2023-06-02,22,yandex-direct,cpc,"34668848",1,,,,,,
2023-06-02,22,yandex-direct,cpm,"00788899",1,,,,,,
2023-06-02,22,yandex.com,organic,,5,,,,,,
2023-06-02,22,zen,social,hexlet-blog,5,,,,,,
2023-06-02,22,zen,social,prof-frontend,3,,,,,,
2023-06-02,22,zen,social,promo,3,,,,,,
2023-06-03,22,Yandex,cpc,"02284027",1,,,,,,
2023-06-03,22,Yandex,cpc,"59988739",1,,,,,,
2023-06-03,22,Yandex,cpm,"94599791",1,,,,,,
2023-06-03,22,admitad,cpa,"442763",1,,,,,,
2023-06-03,22,admitad,cpa,admitad,39,,,,,,
2023-06-03,22,baidu.com,organic,,5,,,,,,
2023-06-03,22,bing.com,organic,,18,,,,,,
2023-06-03,22,facebook,cpm,freemium-en,1,,,,,,
2023-06-03,22,google,cpc,frontend,2,,,,,,
2023-06-03,22,google,organic,,2568,,1,,,,
2023-06-03,22,organic,organic,,912,,1,,,,
2023-06-03,22,telegram,cpp,base-frontend,6,,,,,,
2023-06-03,22,telegram,cpp,base-java,2,,,,,,
2023-06-03,22,telegram,cpp,base-python,11,,,,,,
2023-06-03,22,telegram,cpp,dod-java,1,,,,,,
2023-06-03,22,telegram,cpp,prof-frontend,2,,,,,,
2023-06-03,22,telegram,cpp,prof-python,1,,,,,,
2023-06-03,22,telegram,social,base-java,1,,,,,,
2023-06-03,22,tproger,cpc,dod-frontend,207,,,,,,
2023-06-03,22,twitter,social,course_completed,1,,,,,,
2023-06-03,22,vc,cpp,dod-frontend,1,,,,,,
2023-06-03,22,vk,cpc,base-python,101,2997,,,,,
2023-06-03,22,vk,cpc,freemium-frontend,211,2539,,,,,
2023-06-03,22,vk,cpc,freemium-java,148,2656,,,,,
2023-06-03,22,vk,cpc,freemium-python,122,1390,,,,,
2023-06-03,22,vk,cpc,prof-data-analytics,172,3974,,,,,
2023-06-03,22,vk,cpc,prof-frontend,122,,,,,,
2023-06-03,22,vk,cpc,prof-java,198,2774,,,,,
2023-06-03,22,vk,cpc,prof-python,204,2023,,,,,
2023-06-03,22,vk,cpm,java,1,,,,,,
2023-06-03,22,vk,cpm,prof-data-analytics,12,,,,,,
2023-06-03,22,vk,cpm,prof-frontend,3,,,,,,
2023-06-03,22,vk,cpp,dod-php,3,,,,,,
2023-06-03,22,vk,social,base-frontend,1,,,,,,
2023-06-03,22,vk,social,hexlet-blog,2,,,,,,
2023-06-03,22,vk,social,promo,1,,,,,,
2023-06-03,22,vk-senler,cpc,freemium,16,,1,,,0.06,
2023-06-03,22,yandex-direct,cpc,"16645437",1,,,,,,
2023-06-03,22,yandex.com,organic,,2,,,,,,
2023-06-03,22,zen,social,all-courses,1,,,,,,
2023-06-03,22,zen,social,promo,9,,,,,,
2023-06-04,22,Yandex,cpc,"55670133",1,,,,,,
2023-06-04,22,admitad,cpa,admitad,27,,,,,,
2023-06-04,22,admitad,cpc,"183258",1,,,,,,
2023-06-04,22,baidu.com,organic,,5,,,,,,
2023-06-04,22,bing.com,organic,,24,,,,,,
2023-06-04,22,dzen,social,dzen_post,1,,,,,,
2023-06-04,22,google,organic,,682,,1,,,,
2023-06-04,22,instagram,social,prof-php,1,,,,,,
2023-06-04,22,organic,organic,,658,,2,,,,
2023-06-04,22,telegram,cpp,base-frontend,10,,,,,,
2023-06-04,22,telegram,cpp,base-java,8,,,,,,
2023-06-04,22,telegram,cpp,base-python,47,,,,,,
2023-06-04,22,telegram,cpp,dod-java,1,,,,,,
2023-06-04,22,telegram,cpp,intensive-python,1,,,,,,
2023-06-04,22,telegram,cpp,prof-frontend,1,,,,,,
2023-06-04,22,telegram,cpp,prof-python,3,,,,,,
2023-06-04,22,telegram,social,special,1,,,,,,
2023-06-04,22,tproger,cpc,dod-frontend,155,,,,,,
2023-06-04,22,twitter,social,promo,1,,,,,,
2023-06-04,22,twitter.com,social,svezhiy-vzglyad-na-prohozhdenie-proektov-ot,1,,,,,,
2023-06-04,22,vk,cpc,base-python,145,2537,,,,,
2023-06-04,22,vk,cpc,freemium-frontend,224,2538,,,,,
